accident_id	accident_time	deaths	injured	county	municipality	settlement	involving_motorvehicle_driver	accident_type	accident_type_detailed	accident_scenario	road_type	road_type_detail	road_width	speed_limit	road_condition	road_surface_condition	weather	lighting	join_distance	x_coord	y_coord				
3100180230652	2018-05-13 21:14:00	0	1	Harju maakond	Tallinn	Põhja-Tallinna linnaosa	TRUE	Ühesõidukiõnnetus	Sõiduki ümberpaiskumine teel	Sõiduk kaotab teelõigul või ristmikul juhitavuse ning paiskub ümber.	KOV tee/tänav	Tänav	12	50	Sõidutee on korras	Märg	Selged olud	Valge aeg	1.785900913	6590917	539177				
3100190610035	2019-10-16 10:15:00	0	1	Harju maakond	Maardu linn	Maardu linn	TRUE	Jalakäijaõnnetus	Kokkupõrge jalakäijaga	Sõiduki konflikt teelõiku vasakult poolt ületava jalakäijaga.	KOV tee/tänav	Tänav	9	50	Sõidutee on korras	Kuiv	Pilvised olud	Valge aeg	0.1166061554	6594021	557583				
3100220037802	2022-01-20 14:47:00	0	1	Harju maakond	Tallinn	Lasnamäe linnaosa	TRUE	Ühesõidukiõnnetus	Kokkupõrge teevälise takistusega	Sõiduki konflikt alalise objektiga teel (nt. ohutussaar, liiklusmärk vms.).	KOV tee/tänav	Õuealatee	4	20	Sõidutee on korras	Märg	Pilvised olud	Valge aeg	4.609648301	6588620	545005				
3100220565901	2022-09-20 17:09:00	0	1	Ida-Viru maakond	Kohtla-Järve linn	Järve linnaosa	TRUE	Jalakäijaõnnetus	Kokkupõrge jalakäijaga	Sõiduki konflikt teelõiku vasakult poolt ületava jalakäijaga.	KOV tee/tänav	Tänav	8	50		Märg	Pilvised olud	Valge aeg	0.2033246356	6589368.03	686895.31				
2000220001295	2022-12-15 14:48:00	0	1	Harju maakond	Tallinn	Haabersti linnaosa	TRUE	Jalakäijaõnnetus	Kokkupõrge jalakäijaga	Vasakpööret sooritava ja ristmikult lahkuva sõiduki konflikt jalakäijaga.	KOV tee/tänav	Tänav	11	50	Sõidutee on korras	Pori, saaste	Pilvised olud	Pimeda aeg	0.6349583517	6586595	537251				
2101240175386	2024-09-24 08:49:00	0	1	Tartu maakond	Tartu linn	Tartu linn	TRUE	Kokkupõrge	Kokkupõrge sõidukiga küljelt	Muu liikluskonflikt.	KOV tee/tänav	Tänav	8	50	Sõidutee on korras	Kuiv	Pilvised olud	Valge aeg	0.2151631881	6474169	662472				
3100180600379	2018-10-18 13:55:00	0	2	Harju maakond	Tallinn	Kesklinna linnaosa	TRUE	Kokkupõrge	Kokkupõrge sõidukiga küljelt	Ristmiku peateel otse sõitva sõiduki konflikt paremalt poolt kõrvalteelt tuleva sõidukiga.	KOV tee/tänav	Tänav	6	50	Sõidutee on korras	Kuiv	Pilvised olud	Valge aeg	2.139877496	6588566	542201				
3100220688966	2022-11-26 10:05:00	0	2	Harju maakond	Tallinn	Kristiine linnaosa	TRUE	Kokkupõrge	Kokkupõrge vastutuleva sõidukiga	Teelõigul või ristmikul peateelt kõrvalteele vasakpööret sooritava sõiduki konflikt vastassuunast tuleva sõidukiga.	KOV tee/tänav	Tänav	10	50	Sõidutee on korras	Märg	Pilvised olud	Valge aeg	1.344603762	6588000	541069				
2101240187504	2024-10-13 19:16:00	0	1	Harju maakond	Tallinn	Mustamäe linnaosa	TRUE	Kokkupõrge	Kokkupõrge ees seisva sõidukiga	Sõiduki konflikt teel või tee serval peatunud (pargitud) sõidukiga.	KOV tee/tänav	Tänav	11	30	Sõidutee on korras	Kuiv	Pilvised olud	Pimeda aeg	0.4226020684	6585902	539152				
2610252003026	2025-12-23 01:04:00	0	1	Võru maakond	Võru linn	Võru linn	TRUE	Ühesõidukiõnnetus	Kokkupõrge teevälise takistusega	Sõiduk kaotab teelõigul või ristmikul juhitavuse ning kaldub kavandatud kursist paremale teelt välja või vastassuuna vööndisse.	KOV tee/tänav	Tänav	12	30	Sõidutee on korras	Kuiv	Selged olud	Pimeda aeg	0.000150172316	6415744.405	677824.0898				
